grid_index,t_Brownian,W,GBM_P_one_year,t_hedge_years,hedge_Q_model_price
0,0.0,0.0,100.0,0.0,100.0
1,0.00390625,-0.038674306713043324,99.25275721105724,0.0003210616438356164,99.77881445559515
2,0.0078125,-0.11128776773796223,97.84468577366763,0.0006421232876712328,99.36456537482911
3,0.01171875,-0.09447471255022469,98.19726547422508,0.0009631849315068493,99.4607213756327
4,0.015625,-0.162328092049507,96.89637103518956,0.0012842465753424657,99.074830172003
5,0.01953125,-0.1007486349880291,98.12010936463228,0.001605308219178082,99.42558668774107
6,0.0234375,-0.10323291520924759,98.09435807562541,0.0019263698630136985,99.41174427062934
7,0.02734375,-0.04561483097319739,99.25455818336259,0.002247431506849315,99.74103601144324
8,0.03125,-0.00057877673799938,100.17607930311327,0.0025684931506849314,99.99924989329165
9,0.03515625,-0.006976462721346868,100.0714337473305,0.002889554794520548,99.96289464655973
10,0.0390625,-0.026739966611373626,99.70002649009652,0.003210616438356164,99.85000102428452
11,0.04296875,0.036907838740871154,101.00094555582172,0.0035316780821917806,100.21538627180591
12,0.046875,0.08601027162634073,102.02161884769518,0.003852739726027397,100.49825750420436
13,0.05078125,0.03913248880820787,101.09327027231868,0.004173801369863013,100.22881389878793
14,0.0546875,0.061370047009202025,101.56768722040242,0.00449486301369863,100.35701556362994
15,0.05859375,0.10063942291446872,102.39252332864066,0.004815924657534247,100.58356056002545
16,0.0625,0.01375670540838872,100.65225206733133,0.005136986301369863,100.08405078643506
17,0.06640625,-0.05797794603718988,99.24176777360255,0.005458047945205479,99.67355682572952
18,0.0703125,-0.16262970632789364,97.2089703463948,0.005779109589041096,99.07757008517423
19,0.07421875,-0.16663666936828217,97.15386677237004,0.006100171232876712,99.05512744567253
20,0.078125,-0.22249181936152393,96.09711763323664,0.006421232876712328,98.73871451870825
21,0.08203125,-0.2623657680114189,95.35615745741765,0.006742294520547944,98.51354223581212
22,0.0859375,-0.31510779428412133,94.37770572870699,0.007063356164383561,98.21638945647983
23,0.08984375,-0.31037633578616175,94.48920014896765,0.007384417808219178,98.24335395046812
24,0.09375,-0.42587309623926795,92.35321938588595,0.007705479452054794,97.59521215133138
25,0.09765625,-0.3605312203400305,93.58997910612095,0.00802654109589041,97.96186141839357
26,0.1015625,-0.4047800444941443,92.78712835392263,0.008347602739726026,97.71394635826101
27,0.10546875,-0.3886697561641016,93.10839571500453,0.008668664383561644,97.8045638865583
28,0.109375,-0.4857341629574443,91.33973014913335,0.00898972602739726,97.26205677815642
29,0.11328125,-0.5557551990223595,90.09061716548516,0.009310787671232876,96.87265502235657
30,0.1171875,-0.5116737319098242,90.90969849497219,0.009631849315068493,97.11812727562346
31,0.12109375,-0.41084053395020675,92.78339626241119,0.00995291095890411,97.68156496668459
32,0.125,-0.4983020231657815,91.19588553866217,0.010273972602739725,97.19324136099978
33,0.12890625,-0.3995117643140355,93.03746003475078,0.010595034246575341,97.74566438180513
34,0.1328125,-0.3705151180527008,93.60051750590947,0.010916095890410957,97.90862740970955
35,0.13671875,-0.4664983602644811,91.84236090280913,0.011237157534246575,97.37157915344324
36,0.140625,-0.5667851286666141,90.03969784573697,0.011558219178082191,96.8135843823833
37,0.14453125,-0.7350820681919008,87.07986162854132,0.011879280821917807,95.88414914564747
38,0.1484375,-0.749931944032959,86.84197147894345,0.012200342465753425,95.80284944215487
39,0.15234375,-0.6735705912200348,88.19909416695566,0.01252140410958904,96.22354350357342
40,0.15625,-0.6161614047423928,89.23853071790963,0.012842465753424657,96.54111827965194
41,0.16015625,-0.618443534851864,89.21871741083532,0.013163527397260273,96.52879630121967
42,0.1640625,-0.53753040999996,90.69551017696874,0.013484589041095889,96.9779852052283
43,0.16796875,-0.5742506178912018,90.05298212607657,0.013805650684931507,96.77432634854276
44,0.171875,-0.6380336149929603,88.93234952410373,0.014126712328767123,96.42135892265911
45,0.17578125,-0.6818013644775276,88.17793733192009,0.014447773972602738,96.17999544797851
46,0.1796875,-0.7539074094020284,86.93580338116888,0.014768835616438356,95.7834742054134
47,0.18359375,-0.8871394965531956,84.66970907634978,0.015089897260273972,95.05484940912672
48,0.1875,-0.8719004090729569,84.94806792389133,0.015410958904109588,95.13824838629789
49,0.19140625,-0.8618612245383684,85.13875319175958,0.015732020547945206,95.19333411014985
50,0.1953125,-0.8603391606339004,85.18463727144056,0.01605308219178082,95.20194788288877
51,0.19921875,-0.8574311697742072,85.25417401631633,0.016374143835616438,95.21812879364019
52,0.203125,-0.9438666160026274,83.81268453401199,0.016695205479452052,94.7476942276644
53,0.20703125,-0.8597285864236943,85.25496404228225,0.01701626712328767,95.2061978961343
54,0.2109375,-0.8199768710703904,85.95561529220744,0.017337328767123288,95.42375453356988
55,0.21484375,-0.932894521306357,84.0558876458112,0.017658390410958902,94.80823385921121
56,0.21875,-0.8640132726680524,85.24185179297356,0.01797945205479452,95.18372765606038
57,0.22265625,-0.8877691729029628,84.85769919089502,0.018300513698630137,95.05446934681886
58,0.2265625,-0.8005264734794894,86.37157609414018,0.01862157534246575,95.53146220120654
59,0.23046875,-0.7914292818819257,86.54914947641925,0.01894263698630137,95.58161288639923
60,0.234375,-0.7996609420055464,86.42703202941368,0.019263698630136987,95.53681681952008
61,0.23828125,-0.774514397333058,86.8831560025001,0.0195847602739726,95.67497387994612
62,0.2421875,-0.7403764645339794,87.49889310730235,0.01990582191780822,95.86274004563862
63,0.24609375,-0.8494384756317771,85.63106411551966,0.020226883561643833,95.2654462685432
64,0.25,-0.8657820414364753,85.37162432300318,0.02054794520547945,95.17651936857993
65,0.25390625,-0.8048911458342006,86.43790819309179,0.02086900684931507,95.50970373778007
66,0.2578125,-0.7724815840264623,87.02040393822837,0.021190068493150683,95.68766227276213
67,0.26171875,-0.7848826984708617,86.82518864173774,0.0215111301369863,95.61995399668254
68,0.265625,-0.8589732542190393,85.56814150090707,0.021832191780821915,95.21490667672774
69,0.26953125,-0.7748000648707061,87.04124162630171,0.022153253424657533,95.67586416497689
70,0.2734375,-0.676836165704586,88.78424409095754,0.02247431506849315,96.2151038072856
71,0.27734375,-0.7011844576269431,88.37365629007765,0.022795376712328765,96.0811812876393
72,0.28125,-0.7224960507042222,88.01840812554282,0.023116438356164382,95.96415289388959
73,0.28515625,-0.6536857817721359,89.25901327476247,0.0234375,96.34383267289545
74,0.2890625,-0.6632699705725097,89.10896457000065,0.023758561643835614,96.29121155225803
