path_index,n4_c0,n4_c5,n4_c20,n16_c0,n16_c5,n16_c20,n64_c0,n64_c5,n64_c20,n256_c0,n256_c5,n256_c20
0,-6.0245149863056895,-11.199463879487666,-26.724310559030414,-2.2336227005271709,-8.5264499758206824,-27.404931801700204,3.0205982469799304,-7.475415925266363,-38.963458442008509,2.2746430807448705,-16.358969711361787,-72.259808087657404
1,-93.409195452497443,-104.30117318665361,-136.97710638910758,-60.975595597095889,-73.623680696136944,-111.56793599327648,-11.546053534693783,-25.650714717790834,-67.964698267067433,-5.6213541320321383,-24.193265743169832,-79.90900057658655
2,29.516546282504919,19.417353652185398,-10.88022423876771,56.569258487391039,45.621787621874887,12.77937502531006,-7.7885220394122143,-25.958070992140506,-80.466717850352666,2.0068953398609892,-24.667854320657511,-104.69210330215481
3,82.91259142443738,73.39781452251151,44.85348381673208,54.106211123391006,41.90885686037069,5.3167940713115627,-2.9144490326729624,-23.677993773032028,-85.96862799410377,-2.5482172134747429,-35.605049653230196,-134.7755469724911
4,28.433900475823066,23.241722374910125,7.6651880721743737,50.489483694679002,44.849199006990233,27.928344943929964,16.048372905709098,3.933403043374188,-32.411506543633401,8.2133415561460907,-12.749413046410615,-75.637676854094224
5,48.435555791204933,43.233376862633804,27.626840076925532,9.9850040708359984,0.81941574123368355,-26.677349247573375,-10.105243611011504,-24.548074597571443,-67.876567557251363,1.8098178907447851,-23.304732592698855,-98.648384043019504
6,33.501574717863264,28.306862779829999,12.722726965731169,-78.769317346980117,-89.609007877165794,-122.12807946772878,-54.316902066888034,-69.108116450608961,-113.48175960175651,-19.500307082102246,-45.184178000765435,-122.23579075674705
7,97.55664015514526,91.597904874581445,73.721699032892957,-22.836610191768159,-38.304700596992916,-84.708971812674463,-41.566113814657001,-65.70320384572733,-138.11447393893286,11.335007210944696,-26.193777095001678,-138.78013001284035
8,-60.435711239783586,-71.063725779195693,-102.94776939742655,-16.417770765767955,-27.600390309770546,-61.148248941805605,-11.377778017470291,-25.846767589627007,-69.2537363061208,0.5573561089361192,-19.100351130073932,-78.073472847165931
9,-24.064315533912012,-29.230244526819231,-44.728031505540677,4.2277158912217576,-1.4490356328168297,-18.479290204928162,0.37034115340795981,-8.5481553051206678,-35.303644680702234,5.3360530292719108,-8.7488328309733525,-51.003490411707048
10,-25.160569428894462,-35.172800637813282,-65.209494264560647,-57.164202990407659,-68.998305365087447,-104.50061248913772,-33.850876186347534,-49.115871827700914,-94.910858751744684,-16.715672997201921,-37.887471368997296,-101.40286648446346
11,90.215637131375843,83.967594358656697,65.22346604050108,48.550529110855734,39.140762160168379,10.911461308111996,-20.162820905608516,-38.589621800369557,-93.870024484633092,3.3436266338451555,-28.564248370047096,-124.2878733816934
