step,time_years,model_mid,target_shares,shares_before,filled_shares,assumed_fill_price,cash_before_interest,interest,cash_before_trade,half_spread_cost,cash_after_trade,shares_after,payoff,cash_after_payoff,external_flow
0,0.0,100.0,52.85688375454997,0.0,52.85688375454997,100.05,240.95814460794642,0.0,240.95814460794642,2.6428441877274986,-5047.373075034779,52.85688375454997,0.0,-5047.373075034779,0.0
1,0.005136986301369863,100.08405078643506,53.36824818206023,52.85688375454997,0.5113644275102587,100.13409281182827,-5047.373075034779,-0.7779085303727697,-5048.150983565151,0.025589711666656512,-5099.355996610131,53.36824818206023,0.0,-5099.355996610131,0.0
2,0.010273972602739725,97.19324136099978,32.14141531637825,53.36824818206023,-21.226832865681978,97.14464474031928,-5099.355996610131,-0.7859202143763468,-5100.1419168245075,1.0315523450219155,-3038.0687791256983,32.14141531637825,0.0,-3038.0687791256983,0.0
3,0.015410958904109588,95.13824838629789,18.41399818026642,32.14141531637825,-13.727417136111828,95.09067926210474,-3038.0687791256983,-0.46823160959320376,-3038.5370107352915,0.6530012105988646,-1733.1875907481613,18.41399818026642,0.0,-1733.1875907481613,0.0
4,0.02054794520547945,95.17651936857993,17.527822112810114,18.41399818026642,-0.886176067456308,95.12893110889564,-1733.1875907481613,-0.2671214097979373,-1733.4547121579592,0.04217157682411365,-1649.153730086556,17.527822112810114,0.0,-1649.153730086556,0.0
5,0.025684931506849314,96.65172924655492,25.562136564692405,17.527822112810114,8.034314451882292,96.70005511117819,-1649.153730086556,-0.2541699881221575,-1649.407900074678,0.3882651925425053,-2426.326550352231,25.562136564692405,0.0,-2426.326550352231,0.0
6,0.030821917808219176,95.42099618057408,16.41983229383042,25.562136564692405,-9.142304270861985,95.3732856824838,-2426.326550352231,-0.3739490013772411,-2426.7004993536084,0.43618389045578376,-1554.7689023324967,16.41983229383042,0.0,-1554.7689023324967,0.0
7,0.03595890410958904,95.49970555388705,15.457310753476856,16.41983229383042,-0.9625215403535652,95.45195570111012,-1554.7689023324967,-0.23962326023911373,-1555.0085255927359,0.04596026184651964,-1463.133962161543,15.457310753476856,0.0,-1463.133962161543,0.0
8,0.0410958904109589,95.86671426815141,16.09800451966375,15.457310753476856,0.6406937661868941,95.91464762528548,-1463.133962161543,-0.22550034905748362,-1463.3594625106005,0.030710603108212393,-1524.8113793301334,16.09800451966375,0.0,-1524.8113793301334,0.0
9,0.046232876712328765,96.25422344336143,16.87217655402905,16.09800451966375,0.7741720343653,96.3023505550831,-1524.8113793301334,-0.23500616292017185,-1525.0463854930535,0.03725866398969964,-1599.6009721364426,16.87217655402905,0.0,-1599.6009721364426,0.0
10,0.05136986301369863,94.83113082509978,7.1104618621508475,16.87217655402905,-9.761714691878202,94.78371525968723,-1599.6009721364426,-0.24653284449527746,-1599.8475049809379,0.4628572215114002,-674.595919179649,7.1104618621508475,0.0,-674.595919179649,0.0
11,0.05650684931506849,95.60383601580608,8.651648146830592,7.1104618621508475,1.5411862846797444,95.65163793381397,-674.595919179649,-0.10396971103250507,-674.6998888906814,0.07367166041516585,-822.1168813814284,8.651648146830592,0.0,-822.1168813814284,0.0
12,0.06164383561643835,95.59302222949984,6.223835934565819,8.651648146830592,-2.427812212264773,95.5452257183851,-822.1168813814284,-0.12670585777641463,-822.2435872392048,0.11604095338803881,-590.2777214165152,6.223835934565819,0.0,-590.2777214165152,0.0
13,0.06678082191780821,93.58449202889211,0.41509380272137475,6.223835934565819,-5.808742131844444,93.53769978287767,-590.2777214165152,-0.0909744669063457,-590.3686958834215,0.2718040908677431,-47.0323182388031,0.41509380272137475,0.0,-47.0323182388031,0.0
14,0.07191780821917808,92.65777670403094,0.00933579121134645,0.41509380272137475,-0.4057580115100283,92.61144781567893,-47.0323182388031,-0.007248689767379801,-47.03956692857048,0.018798317613183912,-9.461730019815846,0.00933579121134645,0.0,-9.461730019815846,0.0
15,0.07705479452054795,95.31753455548497,0.04380001961515814,0.00933579121134645,0.03446422840381169,95.3651933227627,-9.461730019815846,-0.0014582556876767683,-9.463188275503523,0.0016425226409042238,-12.749876079952875,0.04380001961515814,0.0,-12.749876079952875,0.0
16,0.0821917808219178,96.5183331718485,0.0,0.04380001961515814,-0.04380001961515814,96.47007400526257,-12.749876079952875,-0.0019650295740660795,-12.751841109526941,0.0021137524430746664,-8.526449975820682,0.0,0.0,-8.526449975820682,0.0
