month,BusEq,RF,excess,fitted,residual,wealth_BusEq,wealth_market
201601,-0.0772,0.0001,-0.07730000000000001,-0.06757321756808594,-0.009726782431914063,0.9228,0.9427
201602,0.0145,0.0002,0.0143,0.007770587303045053,0.006529412696954947,0.9361805999999999,0.94232292
201603,0.0883,0.0002,0.0881,0.08425956973161262,0.0038404302683873737,1.0188453469799998,1.008002827524
201604,-0.0542,0.0001,-0.0543,0.005015570619230369,-0.05931557061923037,0.9636239291736838,1.0173772538199732
201605,0.0553,0.0001,0.0552,0.033980191868147644,0.021219808131852355,1.0169123324569884,1.0355883066633509
201606,-0.0137,0.0002,-0.013900000000000001,0.011508859622195392,-0.02540885962219539,1.0029806335023277,1.0354847478326845
201607,0.0798,0.0002,0.07959999999999999,0.056856854441752216,0.022743145558247774,1.0830184880558136,1.076489943846859
201608,0.0233,0.0002,0.023100000000000002,-0.00015275826830547443,0.023252758268305477,1.108252818827514,1.0819800425604778
201609,0.0399,0.0002,0.0397,0.013214497105515945,0.026485502894484054,1.152472106298732,1.085117784683903
201610,-0.0224,0.0002,-0.0226,-0.030203762650873406,0.007603762650873407,1.1266567311176403,1.0635239407686934
201611,0.0241,0.0001,0.024,0.029979209143145995,-0.005979209143145994,1.1538091583375754,1.1153175566841287
201612,0.0207,0.0003,0.020399999999999998,0.014918718483486637,0.005481281516513361,1.177693007915163,1.1358393997271166
201701,0.0328,0.0004,0.032400000000000005,0.040651970818945664,-0.008251970818945659,1.2163213385747804,1.1583290198417135
201702,0.067,0.0004,0.0666,0.0557782339392415,0.010821766060758506,1.2978148682592907,1.1999130316540312
201703,0.0237,0.0003,0.023399999999999997,0.020501573590643245,0.0028984264093567524,1.328573080637036,1.2023128577173392
201704,0.0085,0.0005,0.008,0.02688898166268352,-0.01888898166268352,1.3398659518224507,1.215898993009545
201705,0.0453,0.0006,0.0447,0.0351279078588818,0.009572092141118198,1.4005618794400077,1.2296386516305526
201706,-0.0337,0.0006,-0.034300000000000004,0.009068367797598068,-0.043368367797598076,1.3533629441028794,1.2400905801694122
201707,0.0305,0.0007000000000000001,0.0298,0.03067039227985242,-0.0008703922798524201,1.3946405138980171,1.2642723464827155
201708,0.0492,0.0009,0.0483,0.01770718174947203,0.030592818250527974,1.4632568271817994,1.2676858818182186
201709,0.0107,0.0009,0.0098,0.021862716539812713,-0.012062716539812713,1.4789136752326446,1.3003921775691285
201710,0.0712,0.0009,0.0703,0.03411292968139663,0.036187070318603375,1.5842123289092087,1.3309513937420028
201711,0.0252,0.0008,0.0244,0.04441499221472411,-0.020014992214724105,1.6241344795977206,1.3735418383417466
201712,-0.0083,0.0009,-0.0092,0.019786416761962137,-0.028986416761962137,1.6106541634170595,1.3893375694826764
201801,0.0551,0.0011,0.054000000000000006,0.07976979866246588,-0.02576979866246587,1.6994012078213394,1.4683908771862408
201802,0.0198,0.0011,0.0187,-0.032725805812075306,0.05142580581207531,1.733049351736202,1.4165566792215665
201803,-0.0271,0.0012,-0.0283,-0.022875350592990985,-0.0054246494070090134,1.686083714304151,1.3849674652749255
201804,-0.0205,0.0014000000000000002,-0.021900000000000003,0.007207878518621861,-0.029107878518621864,1.651518998160916,1.3906458318825528
201805,0.0779,0.0014000000000000002,0.0765,0.0470739657018811,0.0294260342981189,1.7801723281176514,1.4295839151752643
201806,-0.0201,0.0014000000000000002,-0.0215,0.020562663567450883,-0.04206266356745088,1.7443908643224866,1.4385902938408683
201807,0.0276,0.0016,0.026,0.044186014080411874,-0.018186014080411875,1.7925360521777873,1.4869269277139217
201808,0.0959,0.0016,0.0943,0.06176396097440021,0.03253603902559978,1.9644402595816373,1.5406049898043943
201809,-0.0018,0.0015,-0.0033,0.014941563852874437,-0.018241563852874437,1.9609042671143904,1.5438402602829835
201810,-0.0818,0.0019,-0.0837,-0.09465065226177295,0.010950652261772956,1.8005022980644332,1.428669776865873
201811,-0.047,0.0018,-0.0488,0.02608913440665137,-0.07488913440665138,1.7158786900554048,1.4556716356486379
201812,-0.0901,0.0019,-0.092,-0.0986380335422273,0.006638033542227306,1.561278020081413,1.3194207705519254
201901,0.0746,0.0021,0.0725,0.10615374004000372,-0.033653740040003724,1.6777493603794864,1.4326270726652806
201902,0.0738,0.0018,0.07200000000000001,0.05613240665093282,0.01586759334906719,1.8015672631754927,1.4842016472812307
201903,0.0435,0.0019,0.0416,0.03707623911407706,0.004523760885922941,1.8799354391236267,1.5033478485311584
201904,0.053,0.0021,0.0509,0.046807917515685284,0.004092082484314717,1.9795720173971787,1.566187788599761
201905,-0.1162,0.0021,-0.1183,-0.06617133696569254,-0.052128663034307465,1.7495457489756265,1.461096587984717
201906,0.1116,0.0018,0.10980000000000001,0.0924345270637639,0.01736547293623611,1.9447950545613064,1.5658572133432214
201907,0.0326,0.0019,0.030699999999999998,0.020483051747258747,0.010216948252741252,2.008195373340005,1.5880923857726952
201908,-0.0311,0.0016,-0.0327,-0.004446397604940901,-0.0282536023950591,1.9457404972291308,1.5501369777527279
201909,0.0423,0.0018,0.040499999999999994,-0.0014654819720396409,0.041965481972039635,2.028045320261923,1.5747841556989963
201910,0.0509,0.0015,0.0494,0.038301923470613466,0.011098076529386533,2.131272827063255,1.609744363955514
201911,0.0502,0.0012,0.049,0.05976508210428398,-0.01076508210428398,2.23826272298183,1.6739731640773392
