step,time_years,underlying_model_price,cash_before_interest,interest,cash_before_trade,filled_shares,shares_after,half_spread_cost,cash_after_trade,wealth_after_trade,cash_payoff_at_T,external_funding_after_inception
0,0.0,100.0,240.95814460794642,0.0,240.95814460794642,52.85688375454997,52.85688375454997,2.6428441877274986,-5047.373075034779,238.3153004202186,0.0,0.0
1,0.005136986301369863,100.08405078643506,-5047.373075034779,-0.7779085303727697,-5048.150983565151,0.5113644275102587,53.36824818206023,0.025589711666656512,-5099.355996610131,241.9544648262554,0.0,0.0
2,0.010273972602739725,97.19324136099978,-5099.355996610131,-0.7859202143763468,-5100.1419168245075,-21.226832865681978,32.14141531637825,1.0315523450219155,-3038.0687791256983,85.85955740318786,0.0,0.0
3,0.015410958904109588,95.13824838629789,-3038.0687791256983,-0.46823160959320376,-3038.5370107352915,-13.727417136111828,18.41399818026642,0.6530012105988646,-1733.1875907481613,18.687941910862946,0.0,0.0
4,0.02054794520547945,95.17651936857993,-1733.1875907481613,-0.2671214097979373,-1733.4547121579592,-0.886176067456308,17.527822112810114,0.04217157682411365,-1649.153730086556,19.083370722339396,0.0,0.0
5,0.025684931506849314,96.65172924655492,-1649.153730086556,-0.2541699881221575,-1649.407900074678,8.034314451882292,25.562136564692405,0.3882651925425053,-2426.326550352231,44.2981518618808,0.0,0.0
6,0.030821917808219176,95.42099618057408,-2426.326550352231,-0.3739490013772411,-2426.7004993536084,-9.142304270861985,16.41983229383042,0.43618389045578376,-1554.7689023324967,12.027852262762735,0.0,0.0
7,0.03595890410958904,95.49970555388705,-1554.7689023324967,-0.23962326023911373,-1555.0085255927359,-0.9625215403535652,15.457310753476856,0.04596026184651964,-1463.133962161543,13.034663450428752,0.0,0.0
8,0.0410958904109589,95.86671426815141,-1463.133962161543,-0.22550034905748362,-1463.3594625106005,0.6406937661868941,16.09800451966375,0.030710603108212393,-1524.8113793301334,18.45142024388133,0.0,0.0
9,0.046232876712328765,96.25422344336143,-1524.8113793301334,-0.23500616292017185,-1525.0463854930535,0.7741720343652965,16.872176554029046,0.037258663989699466,-1599.6009721364421,24.41727987091349,0.0,0.0
10,0.05136986301369863,94.83113082509978,-1599.6009721364421,-0.24653284449527746,-1599.8475049809374,-9.761714691878199,7.1104618621508475,0.4628572215114,-674.5959191796488,-0.3027801031391846,0.0,0.0
11,0.05650684931506849,95.60383601580608,-674.5959191796488,-0.10396971103250507,-674.6998888906813,1.5411862846797444,8.651648146830592,0.07367166041516585,-822.1168813814282,5.013869314616272,0.0,0.0
12,0.06164383561643835,95.59302222949984,-822.1168813814282,-0.12670585777641463,-822.2435872392047,-2.427812212264773,6.223835934565819,0.11604095338803881,-590.2777214165151,4.67756542919517,0.0,0.0
13,0.06678082191780821,93.58449202889211,-590.2777214165151,-0.0909744669063457,-590.3686958834214,-5.808742131844444,0.41509380272137475,0.2718040908677431,-47.032318238802986,-8.185975566781977,0.0,0.0
14,0.07191780821917808,92.65777670403094,-47.032318238802986,-0.007248689767379801,-47.039566928570366,-0.4057580115100283,0.00933579121134645,0.018798317613183912,-9.461730019815732,-8.596696362399339,0.0,0.0
15,0.07705479452054795,95.31753455548497,-9.461730019815732,-0.0014582556876767683,-9.46318827550341,0.03446422840381169,0.04380001961515814,0.0016425226409042238,-12.749876079952761,-8.574966196754005,0.0,0.0
16,0.0821917808219178,96.5183331718485,-12.749876079952761,-0.0019650295740660795,-12.751841109526827,-0.04380001961515814,0.0,0.0021137524430746664,-8.526449975820569,-8.526449975820569,0.0,0.0
