date,FISV_split_adjusted_close,IPAY_split_adjusted_close,FISV_price_index,IPAY_price_index
2025-01-02,205.97999572753906,58.09000015258789,100.0,100.0
2025-01-03,208.57000732421875,59.27000045776367,101.25740928750461,102.03133121376521
2025-01-06,205.6300048828125,59.470001220703125,99.8300850315632,102.3756258641596
2025-01-07,203.82000732421875,58.540000915527344,98.95136010868869,100.77466132166882
2025-01-08,205.22999572753906,58.349998474121094,99.63588697176591,100.44757844870074
2025-01-10,200.50999450683594,56.61000061035156,97.34440172144745,97.45223009408033
2025-01-13,201.52999877929688,56.459999084472656,97.8395975140574,97.19400746456597
2025-01-14,204.47000122070312,57.130001068115234,99.26692176999883,98.34739355835603
2025-01-15,204.25,58.33000183105469,99.16011468908495,100.41315489384812
2025-01-16,206.25999450683594,58.70000076293945,100.13593493790884,101.05009572860948
2025-01-17,208.5800018310547,59.220001220703125,101.26226146103761,101.9452591928852
2025-01-21,208.97999572753906,59.70000076293945,101.45645211293638,102.77156241370717
2025-01-22,209.4499969482422,59.630001068115234,101.68463020326162,102.65106027110026
2025-01-23,206.49000549316406,60.04999923706055,100.24760160025423,103.37407312674165
2025-01-24,208.83999633789062,60.150001525878906,101.38848464398195,103.54622373537599
2025-01-27,213.1300048828125,60.0,103.47121531390415,103.28800110586162
2025-01-28,211.72000122070312,60.56999969482422,102.78668104292841,104.26923659101736
2025-01-29,212.50999450683594,60.83000183105469,103.17021017319297,104.71682160659235
2025-01-30,215.91000366210938,61.720001220703125,104.82086034592663,106.24892590562942
2025-01-31,216.0399932861328,61.189998626708984,104.88396823344954,105.33654409705315
2025-02-03,216.6199951171875,60.77000045776367,105.16554986423175,104.61353124141175
2025-02-04,214.22000122070312,60.27000045776367,104.00039113704204,103.75279789886291
2025-02-05,229.52999877929688,61.36000061035156,111.43315056813026,105.62919684829437
2025-02-06,231.24000549316406,60.88999938964844,112.26333153197933,104.8201054048987
2025-02-07,230.05999755859375,60.720001220703125,111.69045651545046,104.52745922053172
2025-02-10,230.64999389648438,60.939998626708984,111.97689031976566,104.90617742577872
2025-02-11,229.88999938964844,60.060001373291016,111.60792511799858,103.39129147104222
2025-02-12,227.72999572753906,59.900001525878906,110.55927781878874,103.11585706410156
2025-02-13,229.8699951171875,60.88999938964844,111.59821336303406,104.8201054048987
2025-02-14,230.60000610351562,61.28099822998047,111.9526220442022,105.49319688244212
2025-02-18,236.27999877929688,62.04399871826172,114.71016782223711,106.80667680373158
2025-02-19,236.33999633789062,60.900001525878906,114.73929567923207,104.83732374919926
2025-02-20,234.42999267578125,60.25,113.8120193894336,103.71836777713605
2025-02-21,232.33999633789062,57.970001220703125,112.79735952865025,99.79342583651307
2025-02-24,232.08999633789062,57.63999938964844,112.67598851923889,99.22533867833118
2025-02-25,232.3800048828125,57.404998779296875,112.81678303857923,98.82079295663335
2025-02-26,229.7100067138672,57.22999954223633,111.52054154701368,98.51953760011611
2025-02-27,231.5800018310547,57.02000045776367,112.42839432688316,98.15803117229541
2025-02-28,235.69000244140625,57.880001068115234,114.42373401792192,99.63849357217931
2025-03-03,237.7899932861328,57.05400085449219,115.44324605223828,98.21656172254364
2025-03-04,223.9199981689453,55.41699981689453,108.70958482062329,95.39851897284893
2025-03-05,225.9600067138672,56.27000045776367,109.69997640584319,96.86693115847214
2025-03-06,219.9499969482422,54.7599983215332,106.78221259853895,94.26751278652503
2025-03-07,218.0399932861328,55.034000396728516,105.85493630874048,94.7391982306214
2025-03-10,214.6199951171875,52.880001068115234,104.19458178894084,91.03116014669084
2025-03-11,213.41000366210938,52.513999938964844,103.607150251813,90.4011013961503
2025-03-12,211.3300018310547,52.790000915527344,102.59734256456261,90.87622788235707
2025-03-13,209.4499969482422,51.90999984741211,101.68463020326162,89.36133536074631
2025-03-14,214.61000061035156,53.13999938964844,104.18972961540784,91.47873859539156
2025-03-17,218.16000366210938,53.94499969482422,105.91319943062891,92.86451980224516
2025-03-18,216.94000244140625,53.486000061035156,105.32090831206958,92.07436722420523
2025-03-19,220.35000610351562,54.810001373291016,106.97641065833623,94.35359137427932
2025-03-20,221.7899932861328,54.83000183105469,107.67550144991094,94.38802149600619
2025-03-21,218.08999633789062,54.49300003051758,105.87921199220244,93.80788412356362
2025-03-24,221.7899932861328,55.470001220703125,107.67550144991094,95.48975912376883
2025-03-25,222.6199951171875,55.417999267578125,108.07845409010449,95.40023949390414
2025-03-26,221.69000244140625,54.90999984741211,107.62695749088552,94.5257354160394
2025-03-27,219.17999267578125,54.70000076293945,106.40838781534035,94.1642289882187
2025-03-28,216.1300048828125,53.2400016784668,104.92766742684051,91.65088920402589
2025-03-31,220.8300018310547,53.209999084472656,107.20944092219446,91.59924073799847
2025-04-01,222.00999450683594,53.689998626708984,107.78230853082482,92.42554395882044
2025-04-02,226.14999389648438,54.68199920654297,109.79221215036108,94.13323990860223
2025-04-03,216.89999389648438,51.277000427246094,105.30148480214059,88.27164794724436
2025-04-04,198.60000610351562,47.62200164794922,96.41713283954752,81.97968931461205
2025-04-07,198.44000244140625,47.15999984741211,96.33945361562859,81.18436860653226
2025-04-08,195.58999633789062,46.380001068115234,94.95582114517961,79.84162669355582
2025-04-09,210.3800048828125,51.63999938964844,102.13613421037913,88.89653856774503
2025-04-10,204.3800048828125,49.59000015258789,99.22322998450637,85.36753317666961
2025-04-11,208.13999938964844,50.560001373291016,101.04864729920983,87.03735796261412
2025-04-14,212.24000549316406,51.04999923706055,103.03913481671563,87.8808729608624
2025-04-15,212.8300018310547,51.34299850463867,103.3255686210308,88.38526143875617
2025-04-16,210.11000061035156,50.520999908447266,102.00505144600326,86.9702182402156
2025-04-17,208.66000366210938,50.68000030517578,101.30110107299706,87.24393212610107
2025-04-21,207.4600067138672,49.790000915527344,100.71852170940221,85.71182782706398
2025-04-22,214.2899932861328,51.349998474121094,104.03437116757,88.39731165301687
2025-04-23,217.10000610351562,52.349998474121094,105.3985875359885,90.11877833811457
2025-04-24,176.89999389648438,52.529998779296875,85.88212329632223,90.4286428667821
2025-04-25,177.52999877929688,52.84000015258789,86.1879806105664,90.96229990323711
2025-04-28,178.02999877929688,52.7400016784668,86.43072262938914,90.79015586147705
2025-04-29,185.2899932861328,53.72999954223633,89.9553340758517,92.49440420227417
2025-04-30,184.57000732421875,53.21699905395508,89.60579238401361,91.61129095225915
2025-05-01,183.02000427246094,53.08599853515625,88.85329064408344,91.38577792341646
2025-05-02,184.3699951171875,53.5,89.50868965016569,92.09846765272661
2025-05-05,185.5,53.611000061035156,90.0572889832326,92.28955055984245
2025-05-06,184.9499969482422,53.369998931884766,89.79027128094789,91.87467514493912
2025-05-07,182.19000244140625,53.54999923706055,88.45033800388988,92.18453967360665
2025-05-08,181.38999938964844,54.7130012512207,88.06194929219382,94.18660889568487
2025-05-09,184.07000732421875,54.81999969482422,89.36305036519087,94.37080315170563
2025-05-12,186.82000732421875,56.59000015258789,90.69813146871589,97.41779997235346
2025-05-13,191.0,57.72999954223633,92.72745119028262,99.38027094266495
2025-05-14,189.86000061035156,57.75600051879883,92.17399968368272,99.4250307575973
2025-05-15,159.1300048828125,56.689998626708984,77.25507728104938,97.58994401411353
2025-05-16,166.66000366210938,57.37099838256836,80.9107714918878,98.7622624063851
2025-05-19,169.13999938964844,57.46500015258789,82.11476983103695,98.92408332181394
2025-05-20,165.8699951171875,57.06999969482422,80.52723495372472,98.24410319317543
2025-05-21,162.22000122070312,55.74399948120117,78.7552211794782,95.96143800099094
2025-05-22,161.33999633789062,56.117000579833984,78.32799285582266,96.60354696579216
2025-05-23,159.33999633789062,55.66600036621094,77.35702478053175,95.82716512306814
2025-05-27,160.13999938964844,56.810001373291016,77.74541349222783,97.79652474447471
2025-05-28,160.74000549316406,56.209999084472656,78.03670687797451,96.76364079329154
2025-05-29,159.6199951171875,56.5099983215332,77.49295971844059,97.28007948544601
2025-05-30,162.7899932861328,56.46900177001953,79.03194322882887,97.20950528781133
2025-06-02,162.0,56.60499954223633,78.64841409856432,97.44362092193003
2025-06-03,162.11000061035156,57.064998626708984,78.70181763902126,98.23549402102516
2025-06-04,164.16000366210938,57.220001220703125,79.69706139777415,98.5023258226898
2025-06-05,165.3800048828125,57.45000076293945,80.2893525163335,98.89826237223735
2025-06-06,166.7100067138672,58.22100067138672,80.93504717534977,100.2255130288427
2025-06-09,166.94000244140625,58.334999084472656,81.04670642979664,100.42175749912414
2025-06-10,168.80999755859375,58.540000915527344,81.95455920966612,100.77466132166882
2025-06-11,168.07000732421875,58.61000061035156,81.59530576286353,100.89516346427571
2025-06-12,168.02000427246094,57.90999984741211,81.57103007940157,99.69013547133247
2025-06-13,163.02000427246094,55.959999084472656,79.14360989117426,96.33327412201712
2025-06-16,164.88999938964844,57.29999923706055,80.05146267104375,98.64003974272299
2025-06-17,163.44000244140625,56.90999984741211,79.34751229803754,97.96866878623479
2025-06-18,161.36000061035156,56.75,78.33770461078716,97.69323437929413
2025-06-20,163.3800048828125,56.63999938964844,79.31838444104258,97.50387199323349
2025-06-23,170.5399932861328,57.630001068115234,82.79444452058118,99.20812690090489
2025-06-24,172.66000366210938,59.435001373291016,83.82367571776055,102.31537479285615
2025-06-25,170.36000061035156,58.79999923706055,82.70706094959628,101.22223977036955
2025-06-26,171.36000061035156,59.2599983215332,83.19254498724175,102.01411286946467
2025-06-27,172.3300018310547,59.29999923706055,83.66346509638973,102.08297311291838
2025-06-30,172.41000366210938,59.91999816894531,83.70230470834919,103.15028061895417
2025-07-01,172.67999267578125,59.84000015258789,83.83338006482653,103.01256669892096
2025-07-02,172.4499969482422,60.209999084472656,83.72172081037965,103.64950753368231
