date,KO_split_adjusted_close,XLP_split_adjusted_close,KO_price_index,XLP_price_index
2023-09-29,55.97999954223633,68.80999755859375,100.0,100.0
2023-10-02,55.47999954223633,68.33999633789062,99.10682385836257,99.31695794596868
2023-10-03,54.880001068115234,67.8499984741211,98.03501521415491,98.6048552266621
2023-10-04,55.040000915527344,68.38999938964844,98.32083130690317,99.38962624059437
2023-10-05,52.380001068115234,67.04000091552734,93.56913450596774,97.42770424957624
2023-10-06,53.13999938964844,66.66999816894531,94.92675924292364,96.88998769717124
2023-10-09,52.880001068115234,66.7300033569336,94.46231064760518,96.97719186824708
2023-10-10,54.029998779296875,67.41000366210938,96.51661168473538,97.96542080198122
2023-10-11,53.709999084472656,66.94999694824219,95.94497949923887,97.29690353677499
2023-10-12,52.810001373291016,66.22000122070312,94.33726653292739,96.23601739604021
2023-10-13,52.88999938964844,66.80000305175781,94.48017117210493,97.07892082814801
2023-10-16,53.43000030517578,67.48999786376953,95.44480304052772,98.08167455070725
2023-10-17,54.06999969482422,67.77999877929688,96.58806741152073,98.50312626676117
2023-10-18,54.04999923706055,68.02999877929688,96.55233954812805,98.86644556463952
2023-10-19,54.349998474121094,67.52999877929688,97.08824387023188,98.13980696888281
2023-10-20,54.56999969482422,67.2699966430664,97.48124355315817,97.76195179455429
2023-10-23,54.08000183105469,67.13999938964844,96.60593475041365,97.57302975120257
2023-10-24,55.63999938964844,67.70999908447266,99.39263995111082,98.40139730686023
2023-10-25,56.119998931884766,67.94000244140625,100.25008822935557,98.73565593946334
2023-10-26,55.779998779296875,67.5,99.64272818046639,98.0962104271574
2023-10-27,55.2400016784668,66.58000183105469,98.67810312643677,96.75919807199506
2023-10-30,56.150001525878906,67.62000274658203,100.30368343164118,98.27060768168404
2023-10-31,56.4900016784668,67.86000061035156,100.91104348053035,98.61939110311225
2023-11-01,56.439998626708984,67.79000091552734,100.8217204148521,98.51766214321131
2023-11-02,57.09000015258789,68.66999816894531,101.98285212473802,99.79654208019812
2023-11-03,56.7400016784668,68.75,101.35763155134907,99.91280691654921
2023-11-06,56.970001220703125,68.86000061035156,101.76849175877511,100.07266829462569
2023-11-07,57.18000030517578,69.02999877929688,102.14362410280849,100.31972275615297
2023-11-08,57.09000015258789,68.76000213623047,101.98285212473802,99.92734279299937
2023-11-09,56.65999984741211,68.4800033569336,101.21472009777837,99.5204269533956
2023-11-10,56.720001220703125,68.95999908447266,101.3219036879564,100.21799379625203
2023-11-13,56.93000030517578,69.18000030517578,101.69703603198977,100.537716552405
2023-11-14,57.099998474121094,69.88999938964844,102.00071264923776,101.56954202786453
2023-11-15,57.209999084472656,70.44999694824219,102.1972124907009,102.38337370707204
2023-11-16,57.150001525878906,69.58000183105469,102.09003571491604,101.11902964653538
2023-11-17,57.2599983215332,69.48999786376953,102.28652874198603,100.98822893373413
2023-11-20,57.400001525878906,69.44000244140625,102.53662378573476,100.9155717267335
2023-11-21,58.029998779296875,69.6500015258789,103.66202081783484,101.2207586064363
2023-11-22,58.41999816894531,70.1500015258789,104.35869711800913,101.94739720219303
2023-11-24,58.56999969482422,70.41000366210938,104.62665268625764,102.32525237652155
2023-11-27,58.459999084472656,70.20999908447266,104.43015284479449,102.03459028564383
2023-11-28,58.58000183105469,70.52999877929688,104.64452002515057,102.49963854342312
2023-11-29,58.22999954223633,69.95999908447266,104.01929263736847,101.67127098776547
2023-11-30,58.439998626708984,70.66000366210938,104.39442498140181,102.68857167439991
2023-12-01,58.63999938964844,70.94999694824219,104.75169680093543,103.11001230282876
2023-12-04,58.56999969482422,71.04000091552734,104.62665268625764,103.24081301563
2023-12-05,58.65999984741211,70.4800033569336,104.78742466432811,102.4269813364225
2023-12-06,58.599998474121094,70.30000305175781,104.68024107415006,102.16539099844508
2023-12-07,58.7400016784668,70.5999984741211,104.93033611789882,102.60136750332407
2023-12-08,58.61000061035156,70.11000061035156,104.69810841304299,101.8892647840175
2023-12-11,59.040000915527344,70.77999877929688,105.46624044000264,102.86295784130148
2023-12-12,59.41999816894531,71.01000213623047,106.14504940128401,103.1972164739046
2023-12-13,59.93000030517578,72.30000305175781,107.05609288181437,105.07194538147195
2023-12-14,59.040000915527344,71.23999786376953,105.46624044000264,103.53146401888267
2023-12-15,58.599998474121094,71.23999786376953,104.68024107415006,103.53146401888267
2023-12-18,59.02000045776367,71.44000244140625,105.43051257660996,103.82212610976038
2023-12-19,58.83000183105469,71.58000183105469,105.09110809596929,104.02558402956228
2023-12-20,57.61000061035156,70.19000244140625,102.91175612976812,102.00552962036859
2023-12-21,57.9900016784668,70.68000030517578,103.59057190544266,102.71763233967516
2023-12-22,58.31999969482422,71.22000122070312,104.18006461543892,103.50240335360743
2023-12-26,58.560001373291016,71.5199966430664,104.60879216175789,103.93837985848641
2023-12-27,58.709999084472656,71.8499984741211,104.87674091561321,104.41796399271588
2023-12-28,58.75,71.87999725341797,104.94819664239856,104.46156053444126
2023-12-29,58.93000030517578,72.02999877929688,105.26974059853951,104.67955433069329
