date,open,split_adjusted_close,volume,pre_report_upper_reference
2026-06-01,464.8399963378906,460.5199890136719,53628900,401.678819110923
2026-06-02,446.8800048828125,441.30999755859375,37036800,401.678819110923
2026-06-03,438.45001220703125,427.3399963378906,39037000,401.678819110923
2026-06-04,435.80999755859375,428.04998779296875,26899500,401.678819110923
2026-06-05,428.3399963378906,416.6700134277344,34782200,401.678819110923
2026-06-08,414.1400146484375,411.739990234375,32086700,401.678819110923
2026-06-09,409.0299987792969,403.4100036621094,35317300,401.678819110923
2026-06-10,398.54998779296875,397.3599853515625,32576000,401.678819110923
2026-06-11,395.2099914550781,390.3399963378906,47224100,401.678819110923
2026-06-12,391.42999267578125,390.739990234375,34865800,401.678819110923
2026-06-15,396.79998779296875,399.760009765625,32266400,401.678819110923
2026-06-16,395.7900085449219,393.8299865722656,31506800,401.678819110923
2026-06-17,390.25,378.9100036621094,41987800,401.678819110923
2026-06-18,377.82000732421875,379.3999938964844,59714200,401.678819110923
2026-06-22,375.739990234375,367.3399963378906,45171100,401.678819110923
2026-06-23,372.3800048828125,373.94000244140625,40647600,401.678819110923
2026-06-24,371.57000732421875,365.4599914550781,44509900,401.678819110923
2026-06-25,362.7699890136719,352.8299865722656,66179000,401.678819110923
2026-06-26,357.1499938964844,372.9700012207031,186201600,401.678819110923
2026-06-29,377.5,368.57000732421875,51229900,401.678819110923
2026-06-30,371.0299987792969,373.0199890136719,44945700,401.678819110923
2026-07-01,380.8299865722656,384.2799987792969,48065800,401.678819110923
2026-07-02,384.4800109863281,390.489990234375,42128900,401.678819110923
2026-07-06,387.0400085449219,386.739990234375,34224500,401.678819110923
2026-07-07,392.489990234375,388.8399963378906,29297500,401.678819110923
2026-07-08,384.0299987792969,383.3399963378906,25908300,401.678819110923
2026-07-09,374.45001220703125,384.3599853515625,31083200,401.678819110923
2026-07-10,387.79998779296875,385.1000061035156,24644600,401.678819110923
2026-07-13,387.75,390.989990234375,28914900,401.678819110923
2026-07-14,382.82000732421875,384.92999267578125,27863900,401.678819110923
2026-07-15,387.79998779296875,395.6300048828125,36253700,401.678819110923
2026-07-16,398.30999755859375,401.1000061035156,37047400,401.678819110923
2026-07-17,394.8599853515625,393.82000732421875,33049800,401.678819110923
2026-07-20,391.4100036621094,402.2900085449219,27915800,401.678819110923
2026-07-21,398.80999755859375,397.75,24126600,401.678819110923
2026-07-22,399.5799865722656,390.3399963378906,28142500,401.678819110923
2026-07-23,389.9700012207031,381.5799865722656,30351800,401.678819110923
2026-07-24,387.04998779296875,381.70001220703125,27659400,401.678819110923
2026-07-27,390.0799865722656,389.1000061035156,27856200,401.678819110923
2026-07-28,393.1600036621094,393.3500061035156,32367500,401.678819110923
2026-07-29,393.3999938964844,390.5400085449219,47209000,401.678819110923
2026-07-30,437.8999938964844,451.1000061035156,110160700,401.678819110923
2026-07-31,450.0,464.7200012207031,60846000,401.678819110923
2026-08-03,476.1300048828125,487.6499938964844,66762100,401.678819110923
2026-08-04,480.8999938964844,492.80999755859375,50455500,401.678819110923
2026-08-05,496.3599853515625,487.4599914550781,33388900,401.678819110923
2026-08-06,488.54998779296875,499.8599853515625,36441500,401.678819110923
2026-08-07,499.2099914550781,499.989990234375,28846200,401.678819110923
