open,high,low,close,volume,time_new_york,timestamp,typical_price,cumulative_volume,vwap_5m_approx
749.4400024414062,751.3200073242188,749.0999755859375,750.780029296875,2814090,09:30,1785763800,750.4000040690104,2814090.0,750.4000040690104
750.760009765625,751.9400024414062,750.739990234375,751.719970703125,1182383,09:35,1785764100,751.4666544596354,3996473.0,750.7155796499834
751.7000122070312,751.8300170898438,750.969970703125,751.5800170898438,779930,09:40,1785764400,751.4600016276041,4776403.0,750.837134936044
751.5900268554688,752.3300170898438,751.3699951171875,751.9099731445312,989041,09:45,1785764700,751.8699951171875,5765444.0,751.014318352693
751.9199829101562,752.9500122070312,751.5999755859375,752.760009765625,1051955,09:50,1785765000,752.4366658528646,6817399.0,751.2337929007638
752.7650146484375,753.638671875,752.6500854492188,753.5999755859375,865548,09:55,1785765300,753.2962443033854,7682947.0,751.4661452372612
753.6199951171875,753.9500122070312,753.0,753.4099731445312,687378,10:00,1785765600,753.4533284505209,8370325.0,751.6293343634617
753.4099731445312,753.6400146484375,753.1699829101562,753.5800170898438,569103,10:05,1785765900,753.4633382161459,8939428.0,751.7460909495178
753.5701293945312,754.0499877929688,753.5499877929688,753.9000244140625,756162,10:10,1785766200,753.8333333333334,9695590.0,751.9088756150647
753.8900146484375,754.5399780273438,753.8300170898438,754.1826782226562,705702,10:15,1785766500,754.1842244466146,10401292.0,752.0632524195158
754.1900024414062,754.780029296875,754.1599731445312,754.619873046875,855195,10:20,1785766800,754.5199584960938,11256487.0,752.2498970408049
754.6199951171875,754.77001953125,754.3619995117188,754.5,917643,10:25,1785767100,754.5440063476562,12174130.0,752.4228189125662
754.5,754.6400146484375,754.3099975585938,754.510009765625,856562,10:30,1785767400,754.4866739908854,13030692.0,752.5584847569892
754.52001953125,754.9349975585938,754.4301147460938,754.7949829101562,622383,10:35,1785767700,754.7200317382812,13653075.0,752.6570200755791
754.7899780273438,755.1649780273438,754.75,754.9000244140625,728742,10:40,1785768000,754.9383341471354,14381817.0,752.7726166917183
754.9099731445312,754.9600219726562,754.7050170898438,754.8699951171875,546306,10:45,1785768300,754.8450113932291,14928123.0,752.8484575499297
754.8699951171875,755.1400146484375,754.8150024414062,754.9199829101562,714168,10:50,1785768600,754.9583333333334,15642291.0,752.9447865191632
754.9149780273438,755.405517578125,754.9149780273438,755.3701171875,552651,10:55,1785768900,755.2302042643229,16194942.0,753.0227762027497
755.3800048828125,755.4299926757812,755.094970703125,755.239990234375,761862,11:00,1785769200,755.2549845377604,16956804.0,753.1230683749377
755.239990234375,755.25,754.7899780273438,754.9500122070312,416538,11:05,1785769500,754.9966634114584,17373342.0,753.1679891235952
754.9400024414062,755.1300048828125,754.7999877929688,755.0549926757812,536919,11:10,1785769800,754.9949951171875,17910261.0,753.222759639283
755.0549926757812,755.4000244140625,755.0499877929688,755.3900146484375,574404,11:15,1785770100,755.2800089518229,18484665.0,753.286687886515
755.4000244140625,755.6900024414062,755.3800048828125,755.5800170898438,525449,11:20,1785770400,755.5500081380209,19010114.0,753.3492471832574
755.5750122070312,755.7000122070312,755.02001953125,755.1099853515625,700928,11:25,1785770700,755.2766723632812,19711042.0,753.4177867498913
755.1199951171875,755.469970703125,755.0750122070312,755.2999877929688,546004,11:30,1785771000,755.2816569010416,20257046.0,753.4680250994517
755.2899780273438,755.6199951171875,755.2000122070312,755.5599975585938,1677014,11:35,1785771300,755.4600016276041,21934060.0,753.6203257918627
755.5449829101562,755.8300170898438,755.530029296875,755.6400756835938,425499,11:40,1785771600,755.6667073567709,22359559.0,753.6592681211584
755.6500244140625,756.0700073242188,755.6500244140625,756.02001953125,683205,11:45,1785771900,755.9133504231771,23042764.0,753.726100394368
756.030029296875,756.2100219726562,755.969970703125,756.1799926757812,315176,11:50,1785772200,756.1199951171875,23357940.0,753.7584019656178
