date,time,timestamp,open,high,low,close,volume,ema12,ema26,dif,signal,macd_histogram,rsv,k,d,j,sma20,upper2sd,lower2sd
2026-01-02,10:30,1767364200,685.7100219726562,686.8699951171875,679.8200073242188,683.1699829101562,89377200,683.1699829101562,683.1699829101562,0.0,0.0,0.0,,,,,,,
2026-01-05,10:30,1767623400,686.5399780273438,689.4299926757812,686.3800048828125,687.719970703125,71927200,683.8699810321514,683.5070190429688,0.36296198918262235,0.07259239783652448,0.5807391826921957,,,,,,,
2026-01-06,10:30,1767709800,687.9299926757812,692.3200073242188,687.780029296875,691.8099975585938,69273800,685.0915220362194,684.1220544885706,0.9694675476488328,0.2519674277989862,1.4350002396996933,,,,,,,
2026-01-07,10:30,1767796200,692.1900024414062,693.9600219726562,689.3200073242188,689.5800170898438,75588300,685.782059736777,684.5263480145908,1.25571172218622,0.45271628667643293,1.605990871019574,,,,,,,
2026-01-08,10:30,1767882600,688.8200073242188,690.6199951171875,687.489990234375,689.510009765625,64019200,686.3555905104458,684.895508144297,1.4600823661488675,0.6541895025709199,1.6117857271558953,,,,,,,
2026-01-09,10:30,1767969000,690.6300048828125,695.3099975585938,689.1799926757812,694.0700073242188,80125500,687.5424238664109,685.5751006761429,1.9673231902679618,0.9168162401103284,2.101013900315267,,,,,,,
2026-01-12,10:30,1768228200,690.6799926757812,696.0900268554688,690.6300048828125,695.1599731445312,63976000,688.7143545245833,686.2850912293568,2.4292632952265194,1.2193056511335667,2.4199152881859054,,,,,,,
2026-01-13,10:30,1768314600,695.489990234375,696.0900268554688,691.3499755859375,693.77001953125,78309700,689.4921491409935,686.8395303628304,2.6526187781631734,1.505968276539488,2.293301003247371,,,,,,,
2026-01-14,10:30,1768401000,691.0,691.719970703125,686.0399780273438,690.3599853515625,94676700,689.625662404158,687.1003048064402,2.5253575977177434,1.709846140775139,1.6310229138852086,64.78159418985024,54.92719806328341,51.64239935442781,61.49679548099462,,,
2026-01-15,10:30,1768487400,694.5700073242188,695.4500122070312,691.25,692.239990234375,77862000,690.0278666857299,687.4810222455466,2.5468444401833494,1.8772458006567811,1.3391972790531366,61.69136402283493,57.18192004980058,53.4889062528854,64.56794764363096,,,
2026-01-16,10:30,1768573800,693.6599731445312,694.25,690.0999755859375,691.6599731445312,79289200,690.278959987084,687.79057416399,2.488385823094063,1.9994738051442378,0.9778240358996508,55.92007773594073,56.761305945180624,54.579706150317136,61.1245055349076,,,
2026-01-20,10:30,1768919400,681.489990234375,684.77001953125,676.5700073242188,677.5800170898438,111623300,688.3252764644317,687.0342366029421,1.291039861489594,1.857787016413309,-1.1334943098474302,5.1742251794782,39.565612356613144,49.57500821908247,19.546820631674493,,,
2026-01-21,10:30,1769005800,679.6500244140625,688.739990234375,678.1300048828125,685.4000244140625,127844500,687.8752376874519,686.9131838482103,0.9620538392415483,1.678640380978957,-1.4331730834748173,45.23569802636516,41.45564091319714,46.868552450454025,30.62981783868338,,,
2026-01-22,10:30,1769092200,689.8499755859375,691.1300048828125,686.9199829101562,688.97998046875,77112200,688.0451981153439,687.0662798941762,0.9789182211676462,1.538695949016695,-1.1195554556980976,63.57561848062636,48.82896676900688,47.52202388997165,51.44285252707735,,,
2026-01-23,10:30,1769178600,688.1500244140625,690.9600219726562,687.1599731445312,689.22998046875,63059600,688.2274723235602,687.2265540108114,1.0009183127488086,1.4311404217631178,-0.8604442180286185,64.85635490406985,54.17142948069454,49.738492420212616,63.037303601658394,,,
2026-01-26,10:30,1769437800,690.489990234375,694.1300048828125,689.9199829101562,692.72998046875,60473800,688.9201658843587,687.634215229918,1.2859506544406258,1.4021024682986196,-0.23230362771598756,82.78666483227856,63.709841264555884,54.39560870166038,82.3383063903469,,,
2026-01-27,10:30,1769524200,694.1799926757812,696.530029296875,693.5700073242188,695.489990234375,55506100,689.9309080920535,688.2161244895075,1.7147836025460492,1.4646386951481056,0.5002898147958872,94.78938919042886,74.06969057318021,60.95363599216699,100.30179973520667,,,
2026-01-28,10:30,1769610600,697.0499877929688,697.8400268554688,693.9400024414062,695.4199829101562,61172200,690.7753811409924,688.7497436317778,2.0256375092145618,1.576838457961397,0.8975981025063295,88.62227680723583,78.92055265119875,66.94260821184425,102.87644152990774,,,
2026-01-29,10:30,1769697000,696.3900146484375,697.0599975585938,684.8300170898438,694.0399780273438,97486200,691.2776268158157,689.1416128462641,2.1360139695515272,1.688673560279423,0.8946808185442086,82.13424852505682,79.99178460915144,71.29233367761331,97.39068647222769,,,
2026-01-30,10:30,1769783400,691.7899780273438,694.2100219726562,687.1199951171875,691.969970703125,101835100,691.3841412600171,689.3511208356613,2.0330204243558683,1.757542933094712,0.5509549825223123,72.4022061017883,77.46192510669705,73.34886415397456,85.68804701214205,690.4944915771484,699.2143093605388,681.7746737937581
2026-02-02,10:30,1770042600,689.5800170898438,696.9299926757812,689.4199829101562,695.4099731445312,79286500,692.0035000114808,689.7999247103924,2.203575301088449,1.8467494066934598,0.7136517887899787,87.67097411505316,80.86494144281575,75.85422325025496,90.88637782793734,691.1064910888672,699.3914023697104,682.821579808024
2026-02-03,10:30,1770129000,696.2100219726562,696.9600219726562,684.030029296875,689.530029296875,107904600,691.6229660553877,689.7799324575393,1.8430335978483754,1.846006244924443,-0.005945294152135183,39.82621992990458,67.1853676051787,72.9646047018962,55.62689341174368,691.1969940185547,699.3707528908257,683.0232351462838
2026-02-04,10:30,1770215400,690.3499755859375,691.4500122070312,681.760009765625,686.1900024414062,105204600,690.7871254993906,689.5140117156035,1.273113783787153,1.731427752696985,-0.9166279378196642,27.549676415327095,53.973470541894834,66.63422664856242,28.651958328559658,690.9159942626953,699.3678182619018,682.4641702634889
2026-02-05,10:30,1770301800,680.9400024414062,683.6900024414062,675.7899780273438,677.6199951171875,113610800,688.7614131328978,688.6329734490542,0.12843968384356685,1.4108301389263014,-2.564780910165469,8.299378854479222,38.7487733127563,57.33907553662705,1.5681688650147976,690.3179931640625,700.5650736903339,680.0709126377911
2026-02-06,10:30,1770388200,681.4600219726562,692.3099975585938,680.8499755859375,690.6199951171875,89127600,689.0473488227885,688.7801602392863,0.2671885835022749,1.182101827841496,-1.8298264886784423,67.25616439872893,48.25123700808051,54.30979602711154,36.134118970018434,690.3734924316407,700.6144890744773,680.132495788804
2026-02-09,10:30,1770647400,689.4199829101562,695.8699951171875,688.3400268554688,693.9500122070312,73885200,689.8016047280566,689.163112236897,0.6384924911596954,1.073379960505136,-0.8697749386908811,82.35824927754464,59.62024109790188,56.07994438404165,66.70083452562233,690.3674926757812,700.5999568228405,680.135028528722
2026-02-10,10:30,1770733800,694.9500122070312,696.5399780273438,691.6599731445312,692.1199951171875,65185700,690.1582801725384,689.3821405984,0.7761395741383694,1.0139318832317827,-0.4755846181868266,76.77481003650054,65.33843074410143,59.166106504061574,77.68307922418114,690.2154937744141,700.2470234189669,680.1839641298612
2026-02-11,10:30,1770820200,696.3900146484375,697.1400146484375,689.1799926757812,691.9600219726562,76353900,690.4354712187103,689.5730947742708,0.8623764444395192,0.9836207954733301,-0.24248870206762185,75.73778083985374,68.80488077601888,62.379031261380675,81.65657980529528,690.1249938964844,700.0588033950409,680.1911843979279
