ex_date,dividend_per_share,previous_trading_close,ex_date_close,dividend_on_original_shares,cumulative_cash,shares_reinvested_at_ex_date_close,yahoo_cumulative_dividend_multiplier
2016-03-21,1.006,188.4499969482422,187.72999572753906,53.81693892990442,53.81693892990442,53.78263518080026,1.0053669363456745
2016-06-21,0.953,191.64999389648438,191.24000549316406,50.9816528829015,104.79859181280591,54.05064840949228,1.010391214236796
2016-09-13,0.883,198.47999572753906,194.77999877929688,47.236935462331616,152.03552727513753,54.2956772771619,1.0149063407896373
2016-12-22,1.296,208.57000732421875,207.00999450683594,69.33076824369397,221.3662955188315,54.63559901822972,1.021252137036081
2017-03-22,0.998,215.5800018310547,215.02000427246094,53.388971224696434,274.75526674352795,54.889186250751116,1.0260018813019791
2017-06-23,1.01,224.0,223.3699951171875,54.03092278250841,328.78618952603637,55.137375709161475,1.0306490040434249
2017-09-20,1.176,230.77000427246094,229.72000122070312,62.911252665574146,391.6974421916105,55.41963913197801,1.035928075823177
2017-12-26,1.184,247.00999450683594,245.5399932861328,63.33922037078214,455.0366625623926,55.68687402049492,1.0409175353155926
2018-03-26,1.084,238.08999633789062,243.52999877929688,57.9896240556823,513.0262866180749,55.93474726707972,1.04567840476918
2018-06-28,1.157,248.52999877929688,248.8800048828125,61.894829365705185,574.92111598378,56.194778210981724,1.05056919689398
2018-09-26,1.207,268.3299865722656,266.3399963378906,64.56962752325511,639.4907435070352,56.449441792243505,1.0553162126297748
2018-12-17,1.289,239.3800048828125,233.22999572753906,68.95629650163697,708.4470400086722,56.76142280584865,1.0610295851225715
2019-03-21,1.455,259.92999267578125,261.42999267578125,77.83662638470271,786.2836663933749,57.07733097436907,1.0670023023683355
2019-06-27,1.386,268.1199951171875,267.6700134277344,74.14540492728382,860.4290713206587,57.37287839007476,1.072546646989398
2019-09-26,1.301,274.6300048828125,272.7900085449219,69.59824805944895,930.0273193801077,57.646503202008425,1.0776517882762933
2019-12-23,1.429,296.29998779296875,295.1600036621094,76.44573134277675,1006.4730507228844,57.925595396254266,1.082874290554232
2020-03-10,1.178,252.11000061035156,263.80999755859375,63.01824459187615,1069.4912953147605,58.184252581380974,1.0879578427164516
2020-06-29,1.433,277.1099853515625,279.70001220703125,76.65971519538076,1146.1510105101413,58.48235065185015,1.0936131700431941
2020-09-29,1.309,308.3599853515625,305.29998779296875,70.02621576465694,1216.1772262747982,58.73309876866692,1.0982753913285206
2020-12-22,1.383,339.5899963378906,337.5400085449219,73.98491703783083,1290.162143312629,58.973745428442825,1.1027664718876284
2021-03-26,1.263,359.42999267578125,364.010009765625,67.56540145971101,1357.72754477234,59.17836573689006,1.106655144161946
2021-06-29,1.333,394.32000732421875,393.1600036621094,71.3101188802809,1429.037663652621,59.379008632384256,1.1104088848192062
2021-09-29,1.308,400.1400146484375,399.4599914550781,69.97271980150595,1499.010383454127,59.573440477756925,1.1140505554173497
2021-12-21,1.533,419.79998779296875,425.69000244140625,82.00931151048059,1581.0196949646074,59.78797707417363,1.1181336878454344
2022-03-24,1.374,409.3299865722656,414.0199890136719,73.50345336947184,1654.5231483340792,59.98639425856035,1.1218995737195654
2022-06-29,1.432,350.8999938964844,349.6400146484375,76.60621923222975,1731.129367566309,60.232076997890495,1.1264967334527176
2022-09-28,1.469,335.3900146484375,340.4800109863281,78.58556986881669,1809.7149374351256,60.49194811588531,1.131452467380348
2022-12-20,1.672,350.80999755859375,349.6700134277344,89.44525038846936,1899.160187823595,60.78119950538331,1.136870922371465
2023-03-24,1.487,362.6400146484375,363.55999755859375,79.54849720553467,1978.7086850291296,61.029801233492684,1.1415518387503911
2023-06-29,1.576,402.54998779296875,402.510009765625,84.30963792597352,2063.018322955103,61.268759183383146,1.1460386278006562
2023-09-28,1.493,392.8500061035156,393.6400146484375,79.86947298444066,2142.8877959395436,61.501139668234224,1.1504106861632803
2023-12-20,1.801,438.19000244140625,430.0899963378906,96.34622963494816,2239.2340255744916,61.75867542467035,1.1551584906088295
2024-03-22,1.543,481.3500061035156,479.17999267578125,82.54427114199056,2321.778296716482,61.95754356949447,1.1588733374708715
2024-06-28,1.784,503.8500061035156,500.1300048828125,95.4367982613812,2417.2150949778634,62.17855062095877,1.1629911825528223
2024-09-27,1.639,527.7000122070312,525.3800048828125,87.67988360448642,2504.8949785823497,62.372525731394276,1.166614607410344
2024-12-23,1.739,545.0399780273438,547.1900024414062,93.02947991958627,2597.924458501936,62.570749057410744,1.170348712233149
2025-03-27,1.812,524.4600219726562,521.2100219726562,96.93468522960916,2694.8591437315454,62.788277870197035,1.1744062648831377
2025-06-30,1.745,566.9500122070312,568.030029296875,93.35045569849227,2788.2095994300375,62.981164758622846,1.178032097789712
2025-09-29,1.74,610.1599731445312,610.1300048828125,93.08297588273726,2881.2925753127747,63.160777670302295,1.1814011125174175
2025-12-22,1.771,627.5599975585938,629.72998046875,94.74135074041821,2976.0339260531928,63.338405766031265,1.1847445100179024
