date,close,adjusted_close
2015-12-30,188.8000030517578,158.39657592773438
2015-12-31,186.92999267578125,156.82769775390625
2016-01-04,184.30999755859375,154.62965393066406
2016-01-05,184.63999938964844,154.90647888183594
2016-01-06,182.3000030517578,152.9432830810547
2016-01-07,177.86000061035156,149.21826171875
2016-01-08,175.97000122070312,147.63262939453125
2016-01-11,175.99000549316406,147.64939880371094
2016-01-12,177.4499969482422,148.8743133544922
2016-01-13,173.11000061035156,145.23321533203125
2016-01-14,175.9199981689453,147.59068298339844
2016-01-15,172.14999389648438,144.427734375
2016-01-19,172.33999633789062,144.587158203125
2016-01-20,170.32000732421875,142.89244079589844
2016-01-21,171.14999389648438,143.58877563476562
2016-01-22,174.66000366210938,146.53353881835938
2016-01-25,172.07000732421875,144.3607177734375
2016-01-26,174.39999389648438,146.3154754638672
2016-01-27,172.4199981689453,144.654296875
2016-01-28,173.36000061035156,145.4429473876953
2016-01-29,177.75,149.1259765625
2016-02-01,177.58999633789062,148.9918212890625
2016-02-02,174.3699951171875,146.290283203125
2016-02-03,175.38999938964844,147.14602661132812
2016-02-04,175.61000061035156,147.3306121826172
2016-02-05,172.30999755859375,144.56202697753906
2016-02-08,169.94000244140625,142.5736541748047
2016-02-09,169.99000549316406,142.61561584472656
2016-02-10,169.8800048828125,142.52337646484375
2016-02-11,167.6999969482422,140.69436645507812
2016-02-12,171.13999938964844,143.5803985595703
2016-02-16,174.00999450683594,145.98826599121094
2016-02-17,176.86000061035156,148.3793487548828
2016-02-18,176.11000061035156,147.75009155273438
2016-02-19,176.07000732421875,147.71658325195312
2016-02-22,178.58999633789062,149.83071899414062
2016-02-23,176.35000610351562,147.95144653320312
2016-02-24,177.17999267578125,148.64781188964844
2016-02-25,179.30999755859375,150.43472290039062
2016-02-26,178.97999572753906,150.15786743164062
2016-02-29,177.3800048828125,148.81556701660156
2016-03-01,181.75,152.48182678222656
2016-03-02,182.52000427246094,153.12786865234375
2016-03-03,183.19000244140625,153.6899871826172
2016-03-04,183.77999877929688,154.18495178222656
2016-03-07,183.97999572753906,154.3527374267578
2016-03-08,181.91000366210938,152.6160888671875
2016-03-09,182.91000366210938,153.45504760742188
2016-03-10,183.00999450683594,153.53895568847656
2016-03-11,185.97999572753906,156.03067016601562
2016-03-14,185.6999969482422,155.7957305908203
2016-03-15,185.4600067138672,155.5943603515625
2016-03-16,186.57000732421875,156.525634765625
2016-03-17,187.75,157.51568603515625
2016-03-18,188.4499969482422,158.1029052734375
2016-03-21,187.72999572753906,158.34414672851562
2016-03-22,187.6300048828125,158.2598419189453
2016-03-23,186.42999267578125,157.24766540527344
2016-03-24,186.3000030517578,157.1379852294922
2016-03-28,186.42999267578125,157.24766540527344
2016-03-29,188.22000122070312,158.75746154785156
2016-03-30,189.00999450683594,159.42379760742188
2016-03-31,188.55999755859375,159.04420471191406
2016-04-01,189.77000427246094,160.0648193359375
2016-04-04,189.1699981689453,159.55877685546875
2016-04-05,187.25,157.93923950195312
2016-04-06,189.2899932861328,159.65994262695312
2016-04-07,187.05999755859375,157.77903747558594
2016-04-08,187.57000732421875,158.209228515625
2016-04-11,187.0800018310547,157.7959442138672
2016-04-12,188.89999389648438,159.33102416992188
2016-04-13,190.7899932861328,160.9251708984375
2016-04-14,190.77000427246094,160.90830993652344
2016-04-15,190.55999755859375,160.73121643066406
2016-04-18,191.94000244140625,161.89512634277344
2016-04-19,192.52000427246094,162.38436889648438
2016-04-20,192.67999267578125,162.51925659179688
2016-04-21,191.61000061035156,161.61676025390625
2016-04-22,191.66000366210938,161.65896606445312
2016-04-25,191.35000610351562,161.39755249023438
2016-04-26,191.6300048828125,161.6336669921875
2016-04-27,192.02999877929688,161.9710235595703
2016-04-28,190.3000030517578,160.51185607910156
2016-04-29,189.22000122070312,159.60089111328125
2016-05-02,190.72999572753906,160.87457275390625
2016-05-03,189.10000610351562,159.49969482421875
2016-05-04,187.99000549316406,158.5634307861328
2016-05-05,187.97000122070312,158.5465850830078
2016-05-06,188.64999389648438,159.1201171875
2016-05-09,188.85000610351562,159.28884887695312
2016-05-10,191.19000244140625,161.26254272460938
2016-05-11,189.39999389648438,159.75274658203125
2016-05-12,189.50999450683594,159.84547424316406
2016-05-13,187.75999450683594,158.36944580078125
2016-05-16,189.6300048828125,159.9467315673828
2016-05-17,187.9600067138672,158.5381317138672
2016-05-18,187.92999267578125,158.51283264160156
2016-05-19,187.32000732421875,157.99830627441406
2016-05-20,188.49000549316406,158.9851837158203
2016-05-23,188.24000549316406,158.7743682861328
2016-05-24,190.6300048828125,160.79019165039062
2016-05-25,191.92999267578125,161.88668823242188
2016-05-26,192.02000427246094,161.962646484375
2016-05-27,192.77000427246094,162.59523010253906
2016-05-31,192.5399932861328,162.40121459960938
2016-06-01,192.89999389648438,162.70489501953125
2016-06-02,193.47999572753906,163.19412231445312
2016-06-03,192.9199981689453,162.72174072265625
2016-06-06,193.85000610351562,163.50621032714844
2016-06-07,194.1999969482422,163.80137634277344
