month,date,close,adjusted_close,nominal_value,cpi_u_nsa,real_value,equivalent_annualized_value
2015-12,2015-12-31,186.92999267578125,156.82769775390625,10000.0,236.525,10000.0,10000.0
2016-01,2016-01-29,177.75,149.1259765625,9508.905550377218,236.916,9493.212300152676,10115.659288721055
2016-02,2016-02-29,177.3800048828125,148.81556701660156,9489.112519532277,237.111,9465.660971791152,10232.656284548855
2016-03,2016-03-31,188.55999755859375,159.04420471191406,10141.333896355856,238.132,10072.896544082983,10351.00645930865
2016-04,2016-04-29,189.22000122070312,159.60089111328125,10176.830585355317,239.261,10060.4563811117,10470.725463771718
2016-05,2016-05-31,192.5399932861328,162.40121459960938,10355.391102817124,240.229,10195.725247966817,10591.829129725043
2016-06,2016-06-30,192.1999969482422,162.924560546875,10388.76186287807,241.018,10195.09704510549,10714.333472064938
2016-07,2016-07-29,199.27999877929688,168.92617797851562,10771.450477044833,240.628,10587.784148490739,10838.254690914859
2016-08,2016-08-31,199.52000427246094,169.12965393066406,10784.4249678435,240.849,10590.810489224303,10963.609173767743
2016-09,2016-09-30,198.69000244140625,169.17868041992188,10787.551104996566,241.428,10568.47393471061,11090.413497653104
2016-10,2016-10-31,195.1300048828125,166.1475067138672,10594.270597186574,241.729,10366.19459394427,11218.684431329199
2016-11,2016-11-30,202.39999389648438,172.33767700195312,10988.982142196917,241.353,10769.159700451728,11348.438937500547
2016-12,2016-12-30,205.30999755859375,175.908447265625,11216.669617994407,241.432,10988.695704778684,11479.69417506111
2017-01,2017-01-31,208.97000122070312,179.0443878173828,11416.6305047938,242.839,11119.789367220068,11612.46750136339
2017-02,2017-02-28,217.07000732421875,185.984375,11859.153559203958,243.603,11514.580262109728,11746.776474513796
2017-03,2017-03-31,216.35000610351562,186.2296142578125,11874.79105572561,243.801,11520.399647480936,11882.638855694542
2017-04,2017-04-28,218.60000610351562,188.16635131835938,11998.285635336539,244.524,11605.791292053029,12020.072611512422
2017-05,2017-05-31,221.6699981689453,190.8090057373047,12166.79250349781,244.733,11758.735425503794,12159.095916374717
2017-06,2017-06-30,222.05999755859375,192.01048278808594,12243.40378249947,244.955,11822.053355333377,12299.727154892615
2017-07,2017-07-31,226.63999938964844,195.97064208984375,12495.92035696147,244.786,12074.20997291639,12441.984924312406
2017-08,2017-08-31,227.3000030517578,196.54135131835938,12532.311200969853,245.519,12073.220022928548,12585.888036974813
2017-09,2017-09-29,230.75999450683594,200.5551300048828,12788.24677510688,246.819,12254.891513546992,12731.455522802746
2017-10,2017-10-31,236.1300048828125,205.22232055664062,13085.846664578035,246.663,12548.010371800065,12878.706631817855
2017-11,2017-11-30,243.35000610351562,211.49717712402344,13485.958166388724,246.669,12931.362495105152,13027.660836686173
2017-12,2017-12-29,245.2899932861328,214.21005249023438,13658.942620350928,246.524,13104.936652327982,13178.3378352932
2018-01,2018-01-31,258.989990234375,226.17416381835938,14421.825165939214,247.867,13761.905366078472,13330.757553348776
2018-02,2018-02-28,249.33999633789062,217.74688720703125,13884.466221567525,248.991,13189.325610388563,13484.94014702209
2018-03,2018-03-29,242.0800018310547,212.3737030029297,13541.849178720084,249.554,12834.840864088605,13640.906005607145
2018-04,2018-04-30,242.9199981689453,213.11062622070312,13588.838532534983,250.546,12828.3829472745,13798.675754219073
2018-05,2018-05-31,248.7899932861328,218.26031494140625,13917.204554255457,251.588,13083.95792802229,13958.270256521617
2018-06,2018-06-29,249.50999450683594,219.91571044921875,14022.75960170697,251.989,13162.21428234463,14119.710617486173
2018-07,2018-07-31,258.3999938964844,227.75128173828125,14522.388901969865,252.006,13630.26291055936,14283.018186182728
2018-08,2018-08-31,266.7200012207031,235.08445739746094,14989.983323376657,252.146,14061.320844120723,14448.214558603106
