month,BusEq_percent,return_decimal,loss_decimal,source_line
200212,-15.94,-0.1594,0.1594,930
200301,-0.96,-0.0096,0.0096,931
200302,3.07,0.0307,-0.0307,932
200303,-2.21,-0.0221,0.0221,933
200304,10.50,0.1050,-0.1050,934
200305,13.86,0.1386,-0.1386,935
200306,0.34,0.0034,-0.0034,936
200307,8.49,0.0849,-0.0849,937
200308,8.20,0.0820,-0.0820,938
200309,-2.64,-0.0264,0.0264,939
200310,13.09,0.1309,-0.1309,940
200311,3.04,0.0304,-0.0304,941
200312,0.08,0.0008,-0.0008,942
200401,4.85,0.0485,-0.0485,943
200402,-2.72,-0.0272,0.0272,944
200403,-2.52,-0.0252,0.0252,945
200404,-8.06,-0.0806,0.0806,946
200405,6.86,0.0686,-0.0686,947
200406,1.25,0.0125,-0.0125,948
200407,-10.33,-0.1033,0.1033,949
200408,-5.94,-0.0594,0.0594,950
200409,2.53,0.0253,-0.0253,951
200410,5.51,0.0551,-0.0551,952
200411,5.22,0.0522,-0.0522,953
200412,3.03,0.0303,-0.0303,954
200501,-6.28,-0.0628,0.0628,955
200502,1.75,0.0175,-0.0175,956
200503,-2.59,-0.0259,0.0259,957
200504,-4.32,-0.0432,0.0432,958
200505,10.34,0.1034,-0.1034,959
200506,-1.13,-0.0113,0.0113,960
200507,6.66,0.0666,-0.0666,961
200508,-1.19,-0.0119,0.0119,962
200509,1.46,0.0146,-0.0146,963
200510,-4.44,-0.0444,0.0444,964
200511,7.33,0.0733,-0.0733,965
200512,-1.46,-0.0146,0.0146,966
200601,4.79,0.0479,-0.0479,967
200602,0.63,0.0063,-0.0063,968
200603,3.02,0.0302,-0.0302,969
200604,-0.27,-0.0027,0.0027,970
200605,-7.35,-0.0735,0.0735,971
200606,-3.14,-0.0314,0.0314,972
200607,-4.77,-0.0477,0.0477,973
200608,9.10,0.0910,-0.0910,974
200609,2.85,0.0285,-0.0285,975
200610,2.14,0.0214,-0.0214,976
200611,4.02,0.0402,-0.0402,977
200612,-1.31,-0.0131,0.0131,978
200701,1.15,0.0115,-0.0115,979
200702,-1.14,-0.0114,0.0114,980
200703,0.26,0.0026,-0.0026,981
200704,5.02,0.0502,-0.0502,982
200705,4.10,0.0410,-0.0410,983
200706,2.05,0.0205,-0.0205,984
200707,-0.08,-0.0008,0.0008,985
200708,3.67,0.0367,-0.0367,986
200709,3.73,0.0373,-0.0373,987
200710,3.97,0.0397,-0.0397,988
